TIC,TOC
1.923637,2.048198
2.173408,2.297969
2.423178,2.547761
2.672951,2.797533
2.922720,3.047282
3.172491,3.297073
3.422282,3.546845
3.672053,3.796615
3.921825,4.046386
4.171596,4.296178
4.421366,4.545949
4.671158,4.795720
4.920928,5.045490
5.170700,5.295282
5.420491,5.545053
5.670262,5.794824
5.920033,6.044594
6.169804,6.294365
6.419574,6.544156
6.669345,6.793929
6.919137,7.043698
7.168908,7.293470
7.418679,7.543240
7.668449,7.793012
7.918221,8.042803
8.167991,8.292574
8.417783,8.542344
8.667554,8.792116
8.917324,9.041886
9.167095,9.291678
9.416867,9.541449
9.666657,9.791219
9.916430,10.040991
10.166200,10.290781
10.415990,10.540552
10.665763,10.790324
10.915533,11.040094
11.165303,11.289866
11.415074,11.539657
11.664845,11.789427
11.914616,12.039199
12.164408,12.288968
12.414179,12.538741
12.663950,12.788511
12.913721,13.038283
13.163491,13.288053
13.413262,13.537845
13.663033,13.787615
13.912824,14.037386
14.162596,14.287157
14.412367,14.536928
14.662137,14.786720
14.911929,15.036490
15.161699,15.286282
15.411470,15.536054
15.661262,15.785823
15.911033,16.035594
16.160804,16.285387
16.410596,16.535156
16.660367,16.784929
16.910136,17.034699
17.159908,17.284470
17.409678,17.534240
17.659449,17.784033
17.909220,18.033803
18.159012,
